Time,Altitude1,Speed1,Altitude2,Speed2,,Time,Altitude1,Time,Speed1
0.016666667,85,0,,,,-36.7,0.085,-36.7,0
0.033333333,85,0,,,,-36.3,0.085,-36.3,0
0.05,85,0,,,,-36.0,0.085,-36.0,0
0.066666667,85,0,,,,-35.7,0.085,-35.7,0
0.083333333,85,0,,,,-35.3,0.085,-35.3,0
0.1,85,0,,,,-35.0,0.085,-35.0,0
0.116666667,85,0,,,,-34.7,0.085,-34.7,0
0.133333333,85,0,,,,-34.3,0.085,-34.3,0
0.15,85,0,,,,-34.0,0.085,-34.0,0
0.166666667,85,0,,,,-33.7,0.085,-33.7,0
0.183333333,85,0,,,,-33.3,0.085,-33.3,0
0.2,85,0,,,,-33.0,0.085,-33.0,0
0.216666667,85,0,,,,-32.7,0.085,-32.7,0
0.233333333,85,0,,,,-32.3,0.085,-32.3,0
0.25,85,0,,,,-32.0,0.085,-32.0,0
0.266666667,85,0,,,,-31.7,0.085,-31.7,0
0.283333333,85,0,,,,-31.3,0.085,-31.3,0
0.3,85,0,,,,-31.0,0.085,-31.0,0
0.316666667,85,0,,,,-30.7,0.085,-30.7,0
0.333333333,85,0,,,,-30.3,0.085,-30.3,0
0.35,85,0,,,,-30.0,0.085,-30.0,0
0.366666667,85,0,,,,-29.7,0.085,-29.7,0
0.383333333,85,0,,,,-29.3,0.085,-29.3,0
0.4,85,0,,,,-29.0,0.085,-29.0,0
0.416666667,85,0,,,,-28.7,0.085,-28.7,0
0.433333333,85,0,,,,-28.3,0.085,-28.3,0
0.45,85,0,,,,-28.0,0.085,-28.0,0
0.466666667,85,0,,,,-27.7,0.085,-27.7,0
0.483333333,85,0,,,,-27.3,0.085,-27.3,0
0.5,85,0,,,,-27.0,0.085,-27.0,0
0.516666667,85,0,,,,-26.7,0.085,-26.7,0
0.533333333,85,0,,,,-26.3,0.085,-26.3,0
0.55,85,0,,,,-26.0,0.085,-26.0,0
0.566666667,85,0,,,,-25.7,0.085,-25.7,0
0.583333333,85,0,,,,-25.3,0.085,-25.3,0
0.6,85,0,,,,-25.0,0.085,-25.0,0
0.616666667,85,14,,,,-24.7,0.085,-24.7,14
0.633333333,85,14,,,,-24.3,0.085,-24.3,14
0.65,85,14,,,,-24.0,0.085,-24.0,14
0.666666667,85,14,,,,-23.7,0.085,-23.7,14
0.683333333,85,14,,,,-23.3,0.085,-23.3,14
0.7,85,14,,,,-23.0,0.085,-23.0,14
0.716666667,85,14,,,,-22.7,0.085,-22.7,14
0.733333333,85,14,,,,-22.3,0.085,-22.3,14
0.75,85,14,,,,-22.0,0.085,-22.0,14
0.766666667,85,14,,,,-21.7,0.085,-21.7,14
0.783333333,85,14,,,,-21.3,0.085,-21.3,14
0.8,85,14,,,,-21.0,0.085,-21.0,14
0.816666667,85,14,,,,-20.7,0.085,-20.7,14
0.833333333,85,14,,,,-20.3,0.085,-20.3,14
0.85,85,14,,,,-20.0,0.085,-20.0,14
0.866666667,85,14,,,,-19.7,0.085,-19.7,14
0.883333333,85,14,,,,-19.3,0.085,-19.3,14
0.9,85,14,,,,-19.0,0.085,-19.0,14
0.916666667,85,14,,,,-18.7,0.085,-18.7,14
0.933333333,85,14,,,,-18.3,0.085,-18.3,14
0.95,85,14,,,,-18.0,0.085,-18.0,14
0.966666667,85,14,,,,-17.7,0.085,-17.7,14
0.983333333,85,14,,,,-17.3,0.085,-17.3,14
1,85,14,,,,-17.0,0.085,-17.0,14
1.016666667,85,14,,,,-16.7,0.085,-16.7,14
1.033333333,85,14,,,,-16.3,0.085,-16.3,14
1.05,85,14,,,,-16.0,0.085,-16.0,14
1.066666667,85,14,,,,-15.7,0.085,-15.7,14
1.083333333,85,14,,,,-15.3,0.085,-15.3,14
1.1,85,14,,,,-15.0,0.085,-15.0,14
1.116666667,85,14,,,,-14.7,0.085,-14.7,14
1.133333333,85,14,,,,-14.3,0.085,-14.3,14
1.15,85,14,,,,-14.0,0.085,-14.0,14
1.166666667,85,14,,,,-13.7,0.085,-13.7,14
1.183333333,85,14,,,,-13.3,0.085,-13.3,14
1.2,85,14,,,,-13.0,0.085,-13.0,14
1.216666667,85,14,,,,-12.7,0.085,-12.7,14
1.233333333,85,14,,,,-12.3,0.085,-12.3,14
1.25,85,14,,,,-12.0,0.085,-12.0,14
1.266666667,85,14,,,,-11.7,0.085,-11.7,14
1.283333333,85,14,,,,-11.3,0.085,-11.3,14
1.3,85,14,,,,-11.0,0.085,-11.0,14
